  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2016reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lag(jan2017reduc_yellow,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  ,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
R^2 ,0.026,0.019,0.009,0.022,0.018,0.014,0.012,0.008,0.003,0.026,0.02,0.011,0.028,0.023,0.022,0.02,0.015,0.009,0.003,0.005,0.005,0.001,0.008,0.009,0.007,0.002,0.004,0.002,0.005,0.008,0,0.002,0.002,0.002,0,0,
adj.R^2 ,0.021,0.014,0.004,0.018,0.013,0.01,0.008,0.003,-0.001,0.018,0.012,0.003,0.02,0.015,0.014,0.012,0.007,0.001,-0.002,0,0,-0.004,0.003,0.004,0.002,-0.003,-0.002,-0.007,-0.004,-0.001,-0.009,-0.007,-0.007,-0.007,-0.009,-0.009,
N ,865,865,864,864,863,862,861,860,859,865,865,864,864,863,862,861,860,859,789,789,788,788,787,786,785,784,783,789,789,788,788,787,786,785,784,783,
Standard errors in parentheses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.864248477,0.078249868,49.38345022,2.79E-253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.038257617,0.096596581,-0.396055607,0.692162246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_yellow,-0.565298751,0.37494651,-1.50767839,0.132004103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.017586569,0.070221213,0.250445243,0.802302863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_yellow,-0.136334089,0.202644598,-0.672774355,0.501271583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.781610127,0.146361183,25.837521,2.12E-109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.141829833,0.152932685,-0.927400398,0.353978878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 1)",-0.208316821,0.341546392,-0.609922477,0.542074281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.011851363,0.068225787,0.173707972,0.86213585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 1)",-0.197781288,0.198943293,-0.994159114,0.320425042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.653271525,0.218202703,16.74255851,1.15E-54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.108302093,0.224600836,-0.482198085,0.629788076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 2)",0.014587119,0.315014531,0.04630618,0.963076977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",-0.004617562,0.072504825,-0.06368627,0.949234854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 2)",-0.24118487,0.203172907,-1.187091697,0.235519628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.867706596,0.077040209,50.20373944,1.03E-257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.019272359,0.092681546,-0.207941707,0.835323773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 1)",-0.656976551,0.399128618,-1.646027173,0.100123963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.016383564,0.07372847,0.222214891,0.824199424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 1)",-0.008280246,0.190210534,-0.043532008,0.965287567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.841487272,0.079455266,48.34779968,3.32E-247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",-0.003590127,0.089418532,-0.0401497,0.967983119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 2)",-0.657985625,0.409657235,-1.606185779,0.108601042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.014516308,0.079551307,0.182477306,0.855251268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 2)",0.064494715,0.200045053,0.322400948,0.747227507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.761934755,0.107173713,35.10128219,5.36E-168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.000690652,0.111375769,-0.006201099,0.995053714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 3)",-0.557876129,0.417116428,-1.337459018,0.181427692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.018400063,0.074156257,0.248125565,0.804096697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 3)",0.129718948,0.196382635,0.660541845,0.509083681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.695945406,0.144742834,25.53456567,2.28E-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.012635112,0.148568568,-0.085045657,0.932244979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 4)",-0.470435776,0.432149308,-1.088595464,0.276638705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",0.014883344,0.056939371,0.261389322,0.793855168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 4)",0.23139306,0.202665506,1.14174861,0.253877812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.583123127,0.18992165,18.86632266,1.21E-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.009810903,0.194633347,-0.050407101,0.959809751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 5)",-0.308111053,0.437740033,-0.70386766,0.481706836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",0.013871805,0.039816161,0.348396346,0.727628312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 5)",0.295159436,0.206994617,1.425928075,0.154254098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.494157796,0.235404748,14.84319165,1.65E-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",0.015801711,0.24081559,0.065617475,0.947697733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 6)",-0.204802079,0.436622741,-0.469059578,0.63914677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",0.01140004,0.019500433,0.584604465,0.55896811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 6)",0.331771443,0.21236168,1.562294299,0.118589144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),-0.60159637,4.569173572,-0.131664153,0.895280843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,0.017912757,0.123476098,0.145070642,0.884689208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_yellow,-0.580316602,0.375784047,-1.544282164,0.122889154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.006673553,0.067847361,0.098361279,0.921668421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_yellow,-0.134889018,0.202572474,-0.665880291,0.505666806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.073183883,0.062685196,1.167482723,0.243340199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-10.97745562,9.642765417,-1.138413634,0.25526594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.073981913,0.423235756,-0.174800715,0.861277514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),0.455513368,6.696228995,0.068025357,0.945781317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.074018242,0.223149261,-0.331698351,0.740198145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 1)",-0.128845944,0.342428063,-0.376271569,0.706808144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.032968555,0.065186137,0.505760226,0.613155042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 1)",-0.199413804,0.200284027,-0.995655057,0.319698809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.131738042,0.083674024,1.574419818,0.115759494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,6.020554956,15.75492791,0.382137893,0.702453826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-1.09378487,0.483567172,-2.26190886,0.023952802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),-7.066319796,8.247587745,-0.856774128,0.391809513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",0.005552339,0.300095132,0.018501931,0.985242749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 2)",0.079295355,0.323761845,0.244918777,0.806578022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",0.014655713,0.070040538,0.209246146,0.834305876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 2)",-0.236840438,0.201221859,-1.177011475,0.239518099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.185563038,0.100328284,1.849558581,0.064721734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,22.2940532,22.06187607,1.010523907,0.312529903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-1.1527909,0.580147239,-1.987066081,0.047233435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),-8.065444369,8.862454881,-0.910068878,0.363042366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.056452527,0.114452724,-0.493238828,0.621970357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 1)",-0.661380461,0.400070684,-1.653159023,0.098665176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.018690189,0.072451257,0.257969143,0.796492728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 1)",-0.074208478,0.207095584,-0.358329601,0.720185017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,-0.030435538,0.057115233,-0.532879518,0.594255291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,74.23668048,50.54219087,1.468806144,0.14225276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.23717687,0.466142908,0.508807205,0.611018483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),-6.020083447,7.588670386,-0.793298844,0.427823818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",0.062563055,0.117152282,0.534031895,0.593458283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 2)",-0.649721952,0.409986378,-1.58474034,0.113395115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.008710409,0.081214767,0.107251537,0.914614591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 2)",-0.003743656,0.209113808,-0.017902481,0.985720827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.075584769,0.05311594,1.423014804,0.155096625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,50.14473216,37.32811636,1.343350189,0.179515043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.624728187,0.49726043,-1.256340036,0.209335868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.882828592,4.407169916,1.107928373,0.268204689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",0.072194414,0.138112597,0.522721428,0.601303702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 3)",-0.569793085,0.419698687,-1.357624177,0.174941591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.002629258,0.075879755,0.034650319,0.972366674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 3)",0.0432048,0.200649875,0.215324329,0.829565874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.110892165,0.066165467,1.675982504,0.094107646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,35.53003241,29.26637725,1.214022225,0.225074854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-1.869791032,1.13070725,-1.653647337,0.098566691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.940807784,4.929025777,0.596630636,0.55091232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",0.030748163,0.162305105,0.189446675,0.849787814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 4)",-0.483390764,0.434885981,-1.111534483,0.266651546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",-0.028160958,0.061824847,-0.455495796,0.648868513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 4)",0.152184384,0.194483418,0.782505705,0.434134604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.139390682,0.080667073,1.727974944,0.084354636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,27.0294844,25.36882367,1.065460691,0.286968992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-1.803275161,1.17837643,-1.530304846,0.126312037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),-0.671309421,5.60580234,-0.119752603,0.90470736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",7.41E-05,0.198370754,0.000373564,0.999702026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 5)",-0.316699496,0.439733693,-0.720207482,0.471594789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",-0.078426554,0.07541917,-1.039875592,0.298692705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 5)",0.223791176,0.191677754,1.167538595,0.243319566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.164039858,0.106922082,1.534199997,0.125351694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,22.23684769,22.22285574,1.00062962,0.317290003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-1.593011006,1.101853227,-1.445756083,0.148613355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.617403388,6.33261251,0.57123397,0.567991877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",0.008632736,0.237871042,0.036291665,0.971058307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 6)",-0.210220135,0.438341288,-0.47958096,0.631648612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",-0.047657553,0.040430263,-1.178759402,0.238823468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 6)",0.264476705,0.193665204,1.36563874,0.172413213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_milk_products_p2012,0.120722593,0.069501557,1.736976812,0.082753095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,21.05642845,22.0455608,0.955132357,0.339782001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-1.596752858,1.19611243,-1.334952148,0.182249018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.720884999,0.084327336,44.12430402,1.16E-214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.117404263,0.108918303,-1.077911239,0.281404908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_yellow,-0.001278535,0.187710442,-0.00681121,0.994567215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.029460618,0.081195393,0.362836082,0.716825133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_yellow,-0.182434222,0.199805385,-0.91305959,0.361491891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.713063289,0.086224779,43.06260131,8.67E-209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.122868153,0.108833961,-1.12895049,0.25926404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 1)",0.031311195,0.167873046,0.186517108,0.852087516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.02733538,0.074500977,0.366913043,0.713782889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 1)",-0.200415529,0.19216025,-1.042960391,0.297288127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.668139481,0.089385217,41.03742893,2.55E-197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.093788827,0.105174038,-0.891748842,0.372801518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_yellow, 2)",0.072367689,0.155062474,0.466700209,0.640844204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",0.028886415,0.076012685,0.380020985,0.704032893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_yellow, 2)",-0.212882835,0.189566788,-1.122996482,0.261783199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.716932543,0.082254888,45.18798374,2.30E-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.080913665,0.102042086,-0.792944047,0.42805062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 1)",-0.097848229,0.212687105,-0.460057176,0.645602903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.028675779,0.084602703,0.338946364,0.734741014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 1)",-0.086305738,0.210384288,-0.41022901,0.681750183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.641247049,0.072333259,50.33987256,1.55E-247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",-0.025324693,0.086298474,-0.293454708,0.769252474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_yellow, 2)",-0.058349988,0.22246909,-0.262283574,0.793171901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.031945485,0.090822408,0.351735714,0.725131229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_yellow, 2)",-0.054169012,0.224862284,-0.240898612,0.809696842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.630570186,0.067158526,54.05970598,3.52E-266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.019743219,0.078032094,-0.25301408,0.800323913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
