  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,
proccess_oil_p2012 , , , , , , , , , ,-0.006*** ,-0.007*** ,-0.007*** ,-0.007*** ,-0.006** ,-0.003,-0.002,-0.002,-0.005* , , , , , , , , , ,-0.006,-0.002,-0.003,-0.012*** ,-0.012** ,-0.004,0.007,0.032*** ,0.014*** ,
  , , , , , , , , , ,-0.002,-0.002,-0.002,-0.002,-0.002,-0.003,-0.003,-0.003,-0.003, , , , , , , , , ,-0.004,-0.004,-0.004,-0.004,-0.005,-0.005,-0.006,-0.007,-0.005,
lvalue_added_tax , , , , , , , , , ,-1.213,-0.695,-0.665,0.752,0.641,-1.011,-0.999,-0.938,-0.616, , , , , , , , , ,-13.79*** ,-5.392,-8.087,3.773,3.029,-5.509,-10.368** ,-17.457*** ,-15.339*** ,
  , , , , , , , , , ,-2.501,-2.545,-2.611,-2.631,-2.596,-2.474,-2.479,-2.497,-2.421, , , , , , , , , ,-4.922,-5.079,-4.982,-5.186,-5.102,-4.895,-4.93,-4.912,-4.839,
lsalary_industry_worker , , , , , , , , , ,-0.068,-0.069,-0.025,-0.018,0.016,-0.038,-0.007,0.009,-0.021, , , , , , , , , ,0.209,0.046,-0.044,0.288,0.201,-0.555*** ,-0.564*** ,-0.198,-0.491** ,
  , , , , , , , , , ,-0.126,-0.117,-0.114,-0.128,-0.119,-0.104,-0.106,-0.114,-0.11, , , , , , , , , ,-0.247,-0.222,-0.228,-0.252,-0.234,-0.205,-0.211,-0.224,-0.22,
lead(jan2016reduc, 1) , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2017reduc, 1) , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
  , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
lead(jan2016reduc, 2) , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
