
  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net 
(Intercept) ,3.433*** ,3.555*** ,3.565*** ,3.458*** ,3.415*** ,3.486*** ,3.418*** ,3.434*** ,3.392*** ,2.154 ,2.634 ,1.954 ,2.389 ,2.47 ,2.532 ,2.159 ,2.222 ,2.053 ,3.318*** ,3.332*** ,3.33*** ,3.35*** ,3.305*** ,3.327*** ,3.308*** ,3.326*** ,3.246*** ,2.421 ,2.646 ,2.996* ,2.208 ,2.031 ,2.988* ,2.609 ,2.613 ,2.515 
  ,(0.063) ,(0.059) ,(0.06) ,(0.063) ,(0.064) ,(0.062) ,(0.062) ,(0.061) ,(0.061) ,(1.86) ,(1.926) ,(1.907) ,(1.871) ,(1.925) ,(1.966) ,(1.861) ,(1.874) ,(1.891) ,(0.068) ,(0.065) ,(0.064) ,(0.068) ,(0.068) ,(0.068) ,(0.066) ,(0.066) ,(0.066) ,(1.724) ,(1.765) ,(1.784) ,(1.732) ,(1.779) ,(1.813) ,(1.723) ,(1.733) ,(1.75) 
jan2015reduc ,0.009 , , , , , , , , ,0.043 , , , , , , , , ,-0.027 , , , , , , , , ,0.015 , , , , , , , , 
  ,(0.045) , , , , , , , , ,(0.047) , , , , , , , , ,(0.042) , , , , , , , , ,(0.044) , , , , , , , , 
jan2016reduc ,0.086*** , , , , , , , , ,0.033 , , , , , , , , ,-0.001 , , , , , , , , ,-0.024 , , , , , , , , 
  ,(0.015) , , , , , , , , ,(0.026) , , , , , , , , ,(0.014) , , , , , , , , ,(0.024) , , , , , , , , 
lead(jan2015reduc, 1) , ,-0.116*** , , , , , , , , ,-0.056 , , , , , , , , , ,-0.04 , , , , , , , , ,-0.033 , , , , , , 
  , ,(0.041) , , , , , , , , ,(0.053) , , , , , , , , , ,(0.037) , , , , , , , , ,(0.049) , , , , , , 
lead(jan2016reduc, 1) , ,0.087*** , , , , , , , , ,0.039 , , , , , , , , , ,-0.002 , , , , , , , , ,-0.005 , , , , , , 
  , ,(0.015) , , , , , , , , ,(0.032) , , , , , , , , , ,(0.014) , , , , , , , , ,(0.03) , , , , , , 
lead(jan2015reduc, 2) , , ,-0.112*** , , , , , , , , ,-0.042 , , , , , , , ,-0.035 , , , , , , , , ,-0.02 , , , , , , , 
  , , ,(0.042) , , , , , , , , ,(0.048) , , , , , , , ,(0.038) , , , , , , , , ,(0.044) , , , , , , , 
lead(jan2016reduc, 2) , , ,0.067*** , , , , , , , , ,0.002 , , , , , , , ,-0.012 , , , , , , , , ,-0.017 , , , , , , , 
  , , ,(0.014) , , , , , , , , ,(0.029) , , , , , , , ,(0.013) , , , , , , , , ,(0.026) , , , , , , , 
lag(jan2015reduc, 1) , , , ,-0.016 , , , , , , , , ,0.017 , , , , , , , , ,-0.067 , , , , , , , , ,-0.004 , , , , , 
  , , , ,(0.045) , , , , , , , , ,(0.049) , , , , , , , , ,(0.042) , , , , , , , , ,(0.046) , , , , , 
lag(jan2016reduc, 1) , , , ,0.086*** , , , , , , , , ,0.015 , , , , , , , , ,0.008 , , , , , , , , ,-0.033 , , , , , 
  , , , ,(0.014) , , , , , , , , ,(0.025) , , , , , , , , ,(0.013) , , , , , , , , ,(0.023) , , , , , 
lag(jan2015reduc, 2) , , , , ,0.036 , , , , , , , , ,0.03 , , , , , , , , ,-0.019 , , , , , , , , ,0.016 , , , , 
  , , , , ,(0.046) , , , , , , , , ,(0.049) , , , , , , , , ,(0.043) , , , , , , , , ,(0.046) , , , , 
lag(jan2016reduc, 2) , , , , ,0.075*** , , , , , , , , ,0.003 , , , , , , , , ,0.006 , , , , , , , , ,-0.041** , , , , 
  , , , , ,(0.014) , , , , , , , , ,(0.023) , , , , , , , , ,(0.013) , , , , , , , , ,(0.021) , , , , 
lag(jan2015reduc, 3) , , , , , ,-0.033 , , , , , , , , ,-0.034 , , , , , , , , ,-0.049 , , , , , , , , ,-0.021 , , , 
  , , , , , ,(0.045) , , , , , , , , ,(0.047) , , , , , , , , ,(0.042) , , , , , , , , ,(0.045) , , , 
lag(jan2016reduc, 3) , , , , , ,0.072*** , , , , , , , , ,0.009 , , , , , , , , ,0.018 , , , , , , , , ,-0.019 , , , 
  , , , , , ,(0.014) , , , , , , , , ,(0.02) , , , , , , , , ,(0.013) , , , , , , , , ,(0.019) , , , 
lag(jan2015reduc, 4) , , , , , , ,0.039 , , , , , , , , ,0.008 , , , , , , , , ,-0.04 , , , , , , , , ,-0.022 , , 
  , , , , , , ,(0.043) , , , , , , , , ,(0.044) , , , , , , , , ,(0.04) , , , , , , , , ,(0.041) , , 
lag(jan2016reduc, 4) , , , , , , ,0.067*** , , , , , , , , ,0.017 , , , , , , , , ,0.032** , , , , , , , , ,0.006 , , 
  , , , , , , ,(0.014) , , , , , , , , ,(0.019) , , , , , , , , ,(0.013) , , , , , , , , ,(0.018) , , 
lag(jan2015reduc, 5) , , , , , , , ,0.03 , , , , , , , , ,-0.015 , , , , , , , , ,-0.064 , , , , , , , , ,-0.048 , 
  , , , , , , , ,(0.042) , , , , , , , , ,(0.044) , , , , , , , , ,(0.039) , , , , , , , , ,(0.041) , 
lag(jan2016reduc, 5) , , , , , , , ,0.057*** , , , , , , , , ,0.009 , , , , , , , , ,0.039*** , , , , , , , , ,0.01 , 
  , , , , , , , ,(0.014) , , , , , , , , ,(0.02) , , , , , , , , ,(0.013) , , , , , , , , ,(0.018) , 
lag(jan2015reduc, 6) , , , , , , , , ,0.082* , , , , , , , , ,0.032 , , , , , , , , ,0.019 , , , , , , , , ,0.033 
  , , , , , , , , ,(0.042) , , , , , , , , ,(0.044) , , , , , , , , ,(0.039) , , , , , , , , ,(0.041) 
lag(jan2016reduc, 6) , , , , , , , , ,0.044*** , , , , , , , , ,0.007 , , , , , , , , ,0.038*** , , , , , , , , ,0.012 
  , , , , , , , , ,(0.014) , , , , , , , , ,(0.019) , , , , , , , , ,(0.013) , , , , , , , , ,(0.018) 
proccess_fish_p2012 , , , , , , , , , ,0.008*** ,0.008*** ,0.008*** ,0.008*** ,0.009*** ,0.008** ,0.007** ,0.008** ,0.008** , , , , , , , , , ,0.009*** ,0.008*** ,0.008*** ,0.01*** ,0.011*** ,0.01*** ,0.008*** ,0.007** ,0.007** 
