,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net 
(Intercept) ,3.178*** ,3.19*** ,3.134*** ,3.125*** ,3.108*** ,3.095*** ,3.097*** ,3.091*** ,3.075*** ,5.54,6.453,4.048,4.958,3.923,2.979,2.592,3.13,2.898,2.634*** ,2.653*** ,2.562*** ,2.609*** ,2.623*** ,2.62*** ,2.622*** ,2.618*** ,2.6*** ,4.447,6.588,2.2,1.564,2.399,5.912,5.463,3.658,5.597
1,(Intercept),3.10780275,0.118430758,26.24151692,2.09E-119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",-0.086698808,0.180391906,-0.480613626,0.630882227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 2)",0.084773694,0.272827866,0.310722269,0.756067879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.051977149,0.055674561,0.933588836,0.35071132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 2)",-0.027559069,0.060638582,-0.45448076,0.64956831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.095139351,0.130412314,23.73348995,1.04E-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.033877567,0.17016023,-0.199092157,0.842225758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 3)",0.024276283,0.280029108,0.086692,0.930931388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.037372036,0.067044256,0.557423377,0.577346394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 3)",-0.005038686,0.070896976,-0.071070532,0.943353946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.09671643,0.127914968,24.20917953,5.28E-105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.034298138,0.170434057,-0.201239932,0.840546494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 4)",0.029522624,0.278356858,0.106060345,0.915552939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",0.012688163,0.069685422,0.182077718,0.855553768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 4)",0.017053131,0.073296447,0.232659726,0.816066972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.090588554,0.126978239,24.33951346,6.73E-106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.023294532,0.170724149,-0.136445441,0.891493013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 5)",0.027345825,0.277600041,0.098508002,0.92154607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",0.002273572,0.066228681,0.034329109,0.972620665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 5)",0.025686127,0.06975138,0.368252596,0.71275261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.074746676,0.125354932,24.52832624,3.34E-107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",-0.004319735,0.171838085,-0.0251384,0.979948932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 6)",0.029674314,0.276619618,0.107274799,0.914589688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",-0.009523479,0.066703606,-0.142773076,0.886494412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 6)",0.037355262,0.071077806,0.52555452,0.599299081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),5.539726219,1.399925811,3.957156997,8.05E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.310244117,0.179396911,-1.729372686,0.084010062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_olive,0.346977794,0.233355745,1.486904869,0.137313335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.056421944,0.04127178,1.367082874,0.171865795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_olive,-0.037486236,0.048630905,-0.770831543,0.440964711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.003903143,0.003754816,-1.039503126,0.298788736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,2.850549423,5.536446639,0.514869845,0.606742658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.265700138,0.196273732,-1.353722351,0.176090269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),6.453058095,1.861098002,3.46733922,0.000545022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.32927534,0.194610221,-1.691973521,0.090921455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 1)",0.360588185,0.232835897,1.548679518,0.121733438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.066929356,0.038974825,1.717245853,0.08620303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 1)",-0.052078066,0.045485012,-1.144950018,0.252467676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.002938836,0.004082285,-0.719899884,0.471732667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,1.559549173,4.155826112,0.375268149,0.707530132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.346157816,0.248397238,-1.393565477,0.163717644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.047618663,1.514723315,2.67218351,0.007642384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.173501182,0.197628651,-0.877915125,0.380172996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 2)",0.204877246,0.258330515,0.793081861,0.427893578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",0.057197598,0.034904322,1.638696709,0.101549734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 2)",-0.060005906,0.043661313,-1.374349543,0.169600724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.003558392,0.004101456,-0.867592378,0.385798362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,2.269401746,7.376561443,0.307650355,0.758404058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.106026889,0.197211667,-0.537629903,0.590936509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.957850934,2.239081303,2.214234439,0.027007862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.157484671,0.186062957,-0.846405291,0.397502471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 1)",0.179375183,0.259397753,0.691506311,0.489386746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.048239718,0.047287575,1.020135164,0.307878544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 1)",-0.031291853,0.056216091,-0.556635154,0.577884842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.003224254,0.003961444,-0.813908922,0.415865328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-1.413065262,7.204598381,-0.196133801,0.844540033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.139050045,0.205268922,-0.677404276,0.498285499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.922891491,2.03710129,1.925722354,0.054385155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",-0.098362904,0.175778433,-0.559584597,0.575871687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 2)",0.10475216,0.269806408,0.38824934,0.69790332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.051958634,0.054727688,0.949403048,0.342614958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 2)",-0.027210723,0.060992023,-0.446135762,0.655583094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.000812568,0.004172973,-0.19472161,0.845645257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-1.549533666,5.82510218,-0.266009697,0.790279382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.050800257,0.240709197,-0.211044104,0.832890214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.978652134,1.393144123,2.138078957,0.03272063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.038143684,0.169206608,-0.225426679,0.821687411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 3)",0.031274926,0.279216483,0.1120096,0.910835342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.036123104,0.063312231,0.570554907,0.568412853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 3)",-0.003072569,0.070837397,-0.043374955,0.965410171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.000100226,0.004010023,-0.024993907,0.98006416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-1.505671571,5.00759744,-0.300677439,0.763714823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.039996909,0.212238288,0.188452845,0.850554927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.591996188,1.367220956,1.895813677,0.058235414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.02943675,0.168537052,-0.174660409,0.861377249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 4)",0.032674242,0.278148839,0.117470351,0.906507868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",0.003095278,0.066608447,0.046469748,0.962943921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 4)",0.019999703,0.073082889,0.273657802,0.784396793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.002603794,0.004984802,-0.522346649,0.601529685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-0.378930611,4.827452267,-0.078494947,0.937448017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.082445982,0.203031859,0.406074111,0.684763759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.130383937,1.296665737,2.414179574,0.015926346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.00378814,0.166291586,-0.022780107,0.981829635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 5)",0.032976998,0.27694138,0.119075732,0.90523619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",-0.01959267,0.059321918,-0.330277085,0.741250867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 5)",0.029036696,0.068482981,0.42399872,0.671646182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.006500667,0.008061971,-0.806337155,0.420215475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,0.568518508,4.416186193,0.128735176,0.897589749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.04176252,0.175466583,0.238008398,0.811917054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.897611954,1.398730538,2.071601267,0.038525772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",0.002865675,0.169608425,0.016895832,0.986522656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 6)",0.036954401,0.275696794,0.13404001,0.893394451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",-0.025592597,0.06282283,-0.407377333,0.683806889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 6)",0.040616383,0.069465702,0.584696924,0.558866512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.005836716,0.004418152,-1.321076505,0.186739339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,0.100114476,4.59000252,0.021811421,0.982602178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.067824746,0.195393145,0.347119374,0.728565317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.634239212,0.105439665,24.98337984,1.88E-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.292526973,0.223036261,-1.311566883,0.189927413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_olive,0.421038087,0.278714265,1.510644197,0.131153123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2016reduc_olive_import,-0.089362704,0.217468923,-0.410921718,0.681206294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc,0.098432695,0.050994663,1.930254843,0.05382029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,jan2017reduc_olive,-0.184906596,0.05652556,-3.271203242,0.001102612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,jan2017reduc_olive_import,-0.076857472,0.085257256,-0.901477196,0.367522918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.652878025,0.093920232,28.24607623,7.43E-134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.418250478,0.213403305,-1.959906278,0.050247125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 1)",0.554803564,0.244231736,2.271627644,0.023292482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.091511463,0.044981952,2.034403997,0.042139152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 1)",-0.227125844,0.056984974,-3.985714627,7.15E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.561920318,0.106521393,24.0507587,6.47E-104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 2)",-0.196583865,0.22183916,-0.886154927,0.37571883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 2)",0.36036038,0.272098511,1.324374688,0.185641091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 2)",0.080352194,0.040871031,1.965993801,0.049538975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 2)",-0.22654677,0.056553306,-4.005897936,6.57E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.60926987,0.119481895,21.83820285,9.08E-89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 1)",-0.153338998,0.216549098,-0.708102684,0.479024487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 1)",0.18366387,0.294213522,0.624253666,0.532584394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 1)",0.101841109,0.058983289,1.726609532,0.084505435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 1)",-0.215469394,0.069509099,-3.0998732,0.001982914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.623112808,0.134889874,19.44632856,4.51E-73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 2)",-0.106359,0.202595896,-0.52498102,0.599697312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 2)",0.070066052,0.307977427,0.227503855,0.820072306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 2)",0.113010499,0.067206623,1.681538141,0.092929241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 2)",-0.206564302,0.074035956,-2.79005382,0.005356765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.619550632,0.149251486,17.55125324,2.69E-61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 3)",-0.052729552,0.18961965,-0.27808063,0.781000365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 3)",-0.01804963,0.315604414,-0.057190678,0.954403222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 3)",0.093178151,0.080117927,1.163012501,0.24506528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 3)",-0.156530465,0.085171422,-1.837828488,0.06634507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.621640287,0.144024639,18.20272072,2.91E-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 4)",-0.067934895,0.187398638,-0.362515414,0.71703346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 4)",0.000455268,0.309687507,0.001470087,0.998827295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 4)",0.048505905,0.080145478,0.60522323,0.545149988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 4)",-0.090315085,0.084743831,-1.065742303,0.286763652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.618325514,0.142716657,18.34632043,3.84E-66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.056939839,0.1879974,-0.302875673,0.762039387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 5)",-0.018614212,0.308812078,-0.060276828,0.95194563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",0.02622205,0.074737529,0.350855193,0.725761249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 5)",-0.041979174,0.079361595,-0.528960814,0.596934711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.600454886,0.140439008,18.51661388,3.44E-67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",-0.031873154,0.189690133,-0.168027473,0.866591236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 6)",-0.034467686,0.307901544,-0.111943855,0.910887477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",0.000530382,0.074705943,0.00709959,0.994336626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 6)",0.014844791,0.080583297,0.184216721,0.853875948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),4.447083917,2.146585458,2.071701315,0.038515448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,jan2016reduc,-0.307331084,0.208422014,-1.47456153,0.140603684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,jan2016reduc_olive,0.376241429,0.267945958,1.404169078,0.160538041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,jan2017reduc,0.089165302,0.051728649,1.723712178,0.085028118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,jan2017reduc_olive,-0.220295474,0.065294443,-3.373877854,0.000765831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.005743459,0.005174315,-1.109994098,0.267233211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-7.952091024,6.725112695,-1.182447252,0.237272277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,0.004128265,0.280089024,0.014739117,0.988242864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),6.588242472,2.473791979,2.663216038,0.007847779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lead(jan2016reduc, 1)",-0.419649427,0.207906076,-2.018456771,0.043775286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lead(jan2016reduc_olive, 1)",0.551197942,0.244997999,2.249805894,0.024649587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lead(jan2017reduc, 1)",0.099317361,0.04748877,2.091386286,0.036712236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lead(jan2017reduc_olive, 1)",-0.227083538,0.057318544,-3.961781335,7.90E-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,-0.002402423,0.005089601,-0.472025863,0.636997801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-4.666485452,5.604625649,-0.832613228,0.405235619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.308715611,0.310707519,-0.993589124,0.320631771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),2.199754304,2.267484586,0.970129772,0.332185801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
