,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
  ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_nom ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net ,lprice_net 
(Intercept) ,3.178*** ,3.19*** ,3.134*** ,3.125*** ,3.108*** ,3.095*** ,3.097*** ,3.091*** ,3.075*** ,5.54,6.453,4.048,4.958,3.923,2.979,2.592,3.13,2.898,2.634*** ,2.653*** ,2.562*** ,2.609*** ,2.623*** ,2.62*** ,2.622*** ,2.618*** ,2.6*** ,4.447,6.588,2.2,1.564,2.399,5.912,5.463,3.658,5.597
5,"lag(jan2017reduc_olive, 4)",-0.089791062,0.084580144,-1.061609228,0.288636401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,0.002145804,0.007105551,0.301989775,0.762714556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-6.916910388,6.446373715,-1.07299246,0.283499994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.193698586,0.300706406,-0.644145195,0.519609959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),3.65769258,2.076885824,1.761142831,0.078480654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 5)",-0.102894354,0.180205051,-0.570984849,0.568121763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 5)",-0.014608358,0.308579997,-0.047340586,0.962250022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 5)",0.067085609,0.068391446,0.980906435,0.326845733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 5)",-0.041157048,0.077291515,-0.532491159,0.594488999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,0.012206633,0.012343419,0.988918314,0.322911673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-10.58206061,6.186343452,-1.710551748,0.087434302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.025562604,0.260195386,-0.09824388,0.921755805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,(Intercept),5.597279176,2.173015215,2.575812234,0.01012488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"lag(jan2016reduc, 6)",-0.042720816,0.185579085,-0.230202754,0.817975306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"lag(jan2016reduc_olive, 6)",-0.027040266,0.307094415,-0.088051964,0.929850759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"lag(jan2017reduc, 6)",0.010164986,0.069681468,0.145877898,0.884043434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"lag(jan2017reduc_olive, 6)",0.018070509,0.078075998,0.231447684,0.817008341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,proccess_oil_p2012,0.003341993,0.006732592,0.496390254,0.619714295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,lvalue_added_tax,-10.48850241,6.306656842,-1.663084369,0.096568979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,lsalary_industry_worker,-0.156662981,0.285803516,-0.548149243,0.583696185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
